feature_name,data_type,declared_type,category,description,role,preprocessing,possible_security_meaning,origin,n_unique,n_missing,min,median,mean,std,max,top_values
sttl,int64,integer,IP / TTL,Source to destination time to live value,Predictor (numeric),Standard-scaled (fitted on the training split only).,"Initial TTL from the source, a rough hop-count/OS fingerprint. In THIS dataset it is largely an artefact of the generator configuration - see the documented caveat.",UNSW-NB15 (published),13,0,0.0,254.0,180.0009,102.4883,255.0,
dttl,int64,integer,IP / TTL,Destination to source time to live value,Predictor (numeric),Standard-scaled (fitted on the training split only).,Initial TTL from the destination. Same artefact caveat as sttl.,UNSW-NB15 (published),9,0,0.0,29.0,84.755,112.7621,254.0,
sload,float64,float,Throughput,Source bits per second,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Outbound bit rate. Sustained high values characterise denial-of-service traffic.,UNSW-NB15 (published),121356,0,0.0,743942.3125,70608691.2282,185731252.8417,5988000256.0,
dload,float64,float,Throughput,Destination bits per second,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound bit rate. Near-zero alongside high sload means the target is not responding.,UNSW-NB15 (published),116380,0,0.0,1747.4413,658214.2825,2412372.1382,22422730.0,
sloss,int64,integer,Loss,Source packets retransmitted or dropped,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).","Outbound packets lost or retransmitted. Elevated under congestion, which floods cause.",UNSW-NB15 (published),490,0,0.0,0.0,4.8893,65.575,5319.0,
dloss,int64,integer,Loss,Destination packets retransmitted or dropped,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound loss. A target shedding packets is a symptom of being overwhelmed.,UNSW-NB15 (published),476,0,0.0,0.0,6.7437,53.7022,5507.0,
sinpkt,float64,float,Timing,Source interpacket arrival time (mSec),Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Outbound inter-packet gap. Very regular gaps suggest automation rather than a human.,UNSW-NB15 (published),114318,0,0.0,0.3817,912.3008,6922.1532,84371.496,
dinpkt,float64,float,Timing,Destination interpacket arrival time (mSec),Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound inter-packet gap. Regularity can reveal beaconing malware.,UNSW-NB15 (published),110270,0,0.0,0.007,98.9155,1094.0487,57739.24,
sjit,float64,float,Timing,Source jitter (mSec),Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Outbound jitter. Scripted traffic is unnaturally smooth; human traffic is bursty.,UNSW-NB15 (published),117101,0,0.0,0.6736,5419.373,49034.4964,1483830.917,
djit,float64,float,Timing,Destination jitter (mSec),Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Inbound jitter. Same reasoning applied to the responder.,UNSW-NB15 (published),114861,0,0.0,0.0,582.2515,3930.1534,463199.2401,
swin,int64,integer,TCP session,Source TCP window advertisement value,Predictor (numeric),Standard-scaled (fitted on the training split only).,Advertised TCP receive window from the source. Zero implies the session never reached data transfer.,UNSW-NB15 (published),22,0,0.0,0.0,121.7537,127.3674,255.0,
stcpb,int64,integer,TCP session,Source TCP base sequence number,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).","Source TCP base sequence number. Zero implies no established TCP session, as in a SYN scan.",UNSW-NB15 (published),114473,0,0.0,0.0,1006120340.1778,1367794569.6251,4294958913.0,
dtcpb,int64,integer,TCP session,Destination TCP base sequence number,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Destination TCP base sequence number. Zero implies the target never established the session.,UNSW-NB15 (published),114187,0,0.0,0.0,1002295002.1407,1363877092.4208,4294881924.0,
dwin,int64,integer,TCP session,Destination TCP window advertisement value,Predictor (numeric),Standard-scaled (fitted on the training split only).,Advertised TCP receive window from the destination. Zero implies no data-transfer state.,UNSW-NB15 (published),19,0,0.0,0.0,119.2546,127.2305,255.0,
tcprtt,float64,float,TCP session,"TCP connection setup round-trip time, the sum of synack and ackdat.",Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",TCP handshake round-trip time. Zero means the three-way handshake never completed.,UNSW-NB15 (published),63878,0,0.0,0.0,0.046,0.0929,3.8215,
synack,float64,float,TCP session,"TCP connection setup time, the time between the SYN and the SYN_ACK packets.",Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",SYN to SYN-ACK delay. Zero indicates a half-open connection - the SYN-scan signature.,UNSW-NB15 (published),57366,0,0.0,0.0,0.0237,0.0539,3.2268,
ackdat,float64,float,TCP session,"TCP connection setup time, the time between the SYN_ACK and the ACK packets.",Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",SYN-ACK to ACK delay. Zero means the client never completed the handshake.,UNSW-NB15 (published),53248,0,0.0,0.0,0.0224,0.0458,2.9288,
smean,int64,integer,Content,Mean of the flow packet size transmitted by the src,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Mean outbound packet size. Small uniform packets indicate probing; large ones indicate payload delivery.,UNSW-NB15 (published),1377,0,24.0,73.0,137.639,205.9011,1504.0,
dmean,int64,integer,Content,Mean of the flow packet size transmitted by the dst,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",Mean inbound packet size. Zero when the target is silent.,UNSW-NB15 (published),1362,0,0.0,44.0,121.6497,254.041,1500.0,
trans_depth,int64,integer,Content,Represents the pipelined depth into the connection of http request/response transaction,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",HTTP request/response pipeline depth. Unusual depths can indicate HTTP-based attacks.,UNSW-NB15 (published),14,0,0.0,0.0,0.1022,0.7106,172.0,
response_body_len,int64,integer,Content,Actual uncompressed content size of the data transferred from the servers http service.,Predictor (numeric),"log1p transform, then standard-scaled (fitted on the training split only).",HTTP response body size. Large values can indicate data being pulled out via HTTP.,UNSW-NB15 (published),2819,0,0.0,0.0,1968.9001,49625.2337,6558056.0,
ct_srv_src,int64,integer,Connection history,No. of connections that contain the same service (14) and source address (1) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections from this source to this service. High values indicate service enumeration.,UNSW-NB15 (published),57,0,1.0,5.0,9.3832,10.8297,63.0,
ct_state_ttl,int64,integer,Connection history,No. for each state (6) according to specific range of values for source/destination time to live (10) (11).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Authors' derived bucket over state and TTL. Inherits the TTL artefact and should be read with the same caution.,UNSW-NB15 (published),7,0,0.0,1.0,1.325,0.9923,6.0,
ct_dst_ltm,int64,integer,Connection history,No. of connections of the same destination address (3) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections to this destination. High values indicate a host being targeted.,UNSW-NB15 (published),52,0,1.0,2.0,6.0505,8.1737,59.0,
ct_src_dport_ltm,int64,integer,Connection history,No of connections of the same source address (1) and the destination port (4) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections from this source to this destination port. A horizontal port-scan signal.,UNSW-NB15 (published),52,0,1.0,1.0,5.2383,8.1608,59.0,
ct_dst_sport_ltm,int64,integer,Connection history,No of connections of the same destination address (3) and the source port (2) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections to this destination from this source port. A vertical scan signal.,UNSW-NB15 (published),35,0,1.0,1.0,4.0327,5.8315,46.0,
ct_dst_src_ltm,int64,integer,Connection history,No of connections of the same source (1) and the destination (3) address in in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections between this exact host pair. Sustained pairing can indicate C2.,UNSW-NB15 (published),58,0,1.0,3.0,8.323,11.1208,65.0,
is_ftp_login,int64,binary,FTP,If the ftp session is accessed by user and password then 1 else 0.,Predictor (numeric),Standard-scaled (fitted on the training split only).,Whether the FTP session was authenticated. Documented as binary but is not - see defects.,UNSW-NB15 (published),4,0,0.0,0.0,0.0128,0.1161,4.0,
ct_ftp_cmd,int64,integer,FTP,No of flows that has a command in ftp session.,Predictor (numeric),Standard-scaled (fitted on the training split only).,Commands issued in the FTP session. Elevated counts accompany FTP brute-forcing.,UNSW-NB15 (published),4,0,0.0,0.0,0.0128,0.1164,4.0,
ct_flw_http_mthd,int64,integer,Content,No. of flows that has methods such as Get and Post in http service.,Predictor (numeric),Standard-scaled (fitted on the training split only).,Flows carrying HTTP GET/POST. Useful for separating web attacks from other HTTP traffic.,UNSW-NB15 (published),11,0,0.0,0.0,0.132,0.6819,30.0,
ct_src_ltm,int64,integer,Connection history,No. of connections of the same source address (1) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections from this source overall. A noisy source is a scanning candidate.,UNSW-NB15 (published),52,0,1.0,3.0,6.8,8.3963,60.0,
ct_srv_dst,int64,integer,Connection history,No. of connections that contain the same service (14) and destination address (3) in 100 connections according to the last time (26).,Predictor (numeric),Standard-scaled (fitted on the training split only).,Recent connections to this service on this destination. Service-level targeting.,UNSW-NB15 (published),57,0,1.0,4.0,9.121,10.8748,62.0,
is_sm_ips_ports,int64,binary,Host identity,"If source (1) and destination (3)IP addresses equal and port numbers (2)(4) equal then, this variable takes value 1 else 0",Predictor (numeric),Passed through unscaled (already 0/1).,Source and destination IP and port are identical - a spoofed or malformed packet (LAND-attack shape).,UNSW-NB15 (published),2,0,0.0,0.0,0.0143,0.1186,1.0,
attack_cat,object,nominal,Analysis label,"The name of each attack category. In this data set , nine categories e.g. Fuzzers, Analysis, Backdoors, DoS Exploits, Generic, Reconnaissance, Shellcode and Worms",Analysis only (EXCLUDED as predictor - target leakage),Dropped before modelling.,"Attack family. ANALYSIS ONLY: it determines the target exactly, so using it as a predictor is target leakage.",UNSW-NB15 (published),10,0,,,,,,"Normal (93,000); Generic (58,871); Exploits (44,525)"
label,int64,binary,Target,0 for normal and 1 for attack records,Target,Dropped before modelling.,"The prediction target. 0 = benign, 1 = malicious.",UNSW-NB15 (published),2,0,0.0,1.0,0.6391,0.4803,1.0,
partition,object,n/a,Engineered,Added by this project: which published file the record came from.,Excluded (bookkeeping),Dropped before modelling.,Bookkeeping: which published file the record came from. Not a predictor.,UNSW-NB15 (published),2,0,,,,,,"official_train (175,341); official_test (82,332)"
flow_bytes_total,float64,n/a,Engineered (this project),Total bytes carried in both directions. Separates bulk transfers and data exfiltration from the tiny probe flows typical of scanning.,Predictor (engineered),"log1p transform, then standard-scaled (fitted on the training split only).",Total bytes carried in both directions. Separates bulk transfers and data exfiltration from the tiny probe flows typical of scanning.,Engineered by src/features.py,,0,,,,,,
flow_pkts_total,float64,n/a,Engineered (this project),"Total packets in both directions. A volume counterpart to byte count that is insensitive to payload size, so it isolates packet-rate attacks.",Predictor (engineered),"log1p transform, then standard-scaled (fitted on the training split only).","Total packets in both directions. A volume counterpart to byte count that is insensitive to payload size, so it isolates packet-rate attacks.",Engineered by src/features.py,,0,,,,,,
bytes_per_packet,float64,n/a,Engineered (this project),Mean payload size across the whole flow. Floods and scans use minimal packets; exploit and shellcode deliveries push large payloads into few packets.,Predictor (engineered),"log1p transform, then standard-scaled (fitted on the training split only).",Mean payload size across the whole flow. Floods and scans use minimal packets; exploit and shellcode deliveries push large payloads into few packets.,Engineered by src/features.py,,0,,,,,,
src_byte_ratio,float64,n/a,Engineered (this project),"Share of flow bytes sent by the source, in [0, 1]. Values near 1.0 mean the source talked and the destination barely answered - the signature of scanning, spoofed floods and one-way probing. Values near 0 indicate a download-shaped flow.",Predictor (engineered),Standard-scaled (fitted on the training split only).,"Share of flow bytes sent by the source, in [0, 1]. Values near 1.0 mean the source talked and the destination barely answered - the signature of scanning, spoofed floods and one-way probing. Values near 0 indicate a download-shaped flow.",Engineered by src/features.py,,0,,,,,,
src_pkt_ratio,float64,n/a,Engineered (this project),"Packet-count analogue of src_byte_ratio, in [0, 1]. Robust when payload sizes vary, e.g. reconnaissance that provokes variable-length errors.",Predictor (engineered),Standard-scaled (fitted on the training split only).,"Packet-count analogue of src_byte_ratio, in [0, 1]. Robust when payload sizes vary, e.g. reconnaissance that provokes variable-length errors.",Engineered by src/features.py,,0,,,,,,
load_log_ratio,float64,n/a,Engineered (this project),"log1p(source bits/s) - log1p(destination bits/s). A signed, scale-stable measure of throughput asymmetry: strongly positive for outbound floods, strongly negative for large inbound responses.",Predictor (engineered),Standard-scaled (fitted on the training split only).,"log1p(source bits/s) - log1p(destination bits/s). A signed, scale-stable measure of throughput asymmetry: strongly positive for outbound floods, strongly negative for large inbound responses.",Engineered by src/features.py,,0,,,,,,
jit_log_ratio,float64,n/a,Engineered (this project),log1p(source jitter) - log1p(destination jitter). Machine-generated attack traffic is often unnaturally regular (low jitter) compared with human-driven sessions.,Predictor (engineered),Standard-scaled (fitted on the training split only).,log1p(source jitter) - log1p(destination jitter). Machine-generated attack traffic is often unnaturally regular (low jitter) compared with human-driven sessions.,Engineered by src/features.py,,0,,,,,,
is_one_way,int8,n/a,Engineered (this project),"1 when the destination returned no packets at all. The single clearest indicator of unanswered probing, closed-port scanning, or traffic sent to a spoofed or non-existent host.",Predictor (engineered),Passed through unscaled (already 0/1).,"1 when the destination returned no packets at all. The single clearest indicator of unanswered probing, closed-port scanning, or traffic sent to a spoofed or non-existent host.",Engineered by src/features.py,,0,,,,,,
tcp_handshake_complete,int8,n/a,Engineered (this project),"1 when both SYN-ACK and ACK-data round-trip times are non-zero, i.e. a full TCP three-way handshake completed. Half-open SYN scans and SYN floods deliberately never reach this state.",Predictor (engineered),Passed through unscaled (already 0/1).,"1 when both SYN-ACK and ACK-data round-trip times are non-zero, i.e. a full TCP three-way handshake completed. Half-open SYN scans and SYN floods deliberately never reach this state.",Engineered by src/features.py,,0,,,,,,
tcp_seq_exchanged,int8,n/a,Engineered (this project),"1 when TCP base sequence numbers were observed in both directions, confirming a genuinely established bidirectional TCP session rather than a synthetic or aborted one.",Predictor (engineered),Passed through unscaled (already 0/1).,"1 when TCP base sequence numbers were observed in both directions, confirming a genuinely established bidirectional TCP session rather than a synthetic or aborted one.",Engineered by src/features.py,,0,,,,,,
both_win_advertised,int8,n/a,Engineered (this project),1 when both endpoints advertised a non-zero TCP receive window. Absence signals a connection that never reached a data-transfer state.,Predictor (engineered),Passed through unscaled (already 0/1).,1 when both endpoints advertised a non-zero TCP receive window. Absence signals a connection that never reached a data-transfer state.,Engineered by src/features.py,,0,,,,,,
is_zero_duration,int8,n/a,Engineered (this project),1 when the flow's measured duration is exactly zero - a single-packet or sub-resolution event. Common for stateless UDP probes and for measurement artefacts that should be visible to the model rather than silently absorbed into a rate denominator.,Predictor (engineered),Passed through unscaled (already 0/1).,1 when the flow's measured duration is exactly zero - a single-packet or sub-resolution event. Common for stateless UDP probes and for measurement artefacts that should be visible to the model rather than silently absorbed into a rate denominator.,Engineered by src/features.py,,0,,,,,,
service_unknown,int8,n/a,Engineered (this project),1 when the flow analyser could not identify an application-layer service. Traffic on non-standard ports that resists classification is operationally suspicious in its own right.,Predictor (engineered),Passed through unscaled (already 0/1).,1 when the flow analyser could not identify an application-layer service. Traffic on non-standard ports that resists classification is operationally suspicious in its own right.,Engineered by src/features.py,,0,,,,,,
src_loss_rate,float64,n/a,Engineered (this project),"Fraction of source packets that were retransmitted or lost, in [0, 1]. Elevated loss accompanies congestion-inducing floods and unstable exploit payloads.",Predictor (engineered),Standard-scaled (fitted on the training split only).,"Fraction of source packets that were retransmitted or lost, in [0, 1]. Elevated loss accompanies congestion-inducing floods and unstable exploit payloads.",Engineered by src/features.py,,0,,,,,,
dst_loss_rate,float64,n/a,Engineered (this project),"Fraction of destination packets retransmitted or lost, in [0, 1]. Signals a target under strain - a denial-of-service symptom.",Predictor (engineered),Standard-scaled (fitted on the training split only).,"Fraction of destination packets retransmitted or lost, in [0, 1]. Signals a target under strain - a denial-of-service symptom.",Engineered by src/features.py,,0,,,,,,
